,Strain Name,Type,Rating,Rating Users,Top Terpene,Feeling_1,Negative_1,Helps with_1,Feeling_2,Negative_2,Helps with_2,Feeling_3,Negative_3,Helps with_3,Feeling_4,Negative_4,Helps with_4,Feeling_5,Negative_5,Helps with_5,THC,CBD,Flavor_1,Flavor_2,Flavor_3
0,Lucid Dream,Hybrid,4.6,108.0,Myrcene,Uplifted,Dry mouth,Depression,Happy,Dry eyes,Anxiety,Energetic,Paranoid,Stress,Euphoric,Anxious,Pain,Creative,Headache,Fatigue,20.0,11.0,Berry,Blueberry,Sage
1,Black Magic,Indica,4.5,17.0,Myrcene,Relaxed,Dry mouth,Anxiety,Happy,Dry eyes,Migraines,Euphoric,,Fatigue,Sleepy,,Insomnia,Focused,,Lack of appetite,18.0,0.0,Earthy,,
2,NYC Diesel,Hybrid,4.2,939.0,Myrcene,Happy,Dry mouth,Stress,Uplifted,Dry eyes,Anxiety,Euphoric,Paranoid,Depression,Relaxed,Dizzy,Pain,Energetic,Headache,Nausea,18.0,4.0,Diesel,Earthy,Grapefruit
3,Sour Sunset,Hybrid,4.7,49.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Depression,Euphoric,Anxious,Anxiety,Uplifted,Dizzy,Headaches,Focused,Headache,Pain,18.0,6.0,Pungent,Lemon,TreeFruit
4,Purple Chemdawg,Indica,4.5,170.0,Caryophyllene,Relaxed,Dry mouth,Pain,Euphoric,Dry eyes,Stress,Happy,Dizzy,Anxiety,Uplifted,Headache,Depression,Sleepy,Anxious,Insomnia,17.0,7.0,Chemical,Grape,Diesel
5,Vortex,Sativa,4.3,272.0,Myrcene,Euphoric,Dry mouth,Stress,Happy,Dry eyes,Anxiety,Uplifted,Dizzy,Depression,Energetic,Headache,Pain,Creative,Paranoid,Fatigue,16.0,0.0,Citrus,Lemon,Tropical
6,Gutbuster,Indica,4.7,17.0,Limonene,Relaxed,Anxious,Stress,Euphoric,Dry eyes,Depression,Tingly,Dry mouth,Insomnia,Giggly,Paranoid,Pain,Creative,,Anxiety,18.0,14.0,Berry,Vanilla,Woody
7,Exodus Cheese,Hybrid,4.2,139.0,Pinene,Happy,Dry mouth,Stress,Relaxed,Dry eyes,Pain,Euphoric,Dizzy,Depression,Uplifted,Anxious,Anxiety,Focused,Paranoid,Insomnia,17.0,6.0,Cheese,Blueberry,Pungent
8,Strawberry Ice,Sativa,4.6,65.0,Myrcene,Focused,Dry mouth,Stress,Happy,Dizzy,Depression,Euphoric,Dry eyes,Fatigue,Uplifted,Paranoid,Anxiety,Energetic,Anxious,Lack of appetite,18.0,0.0,Strawberry,Sweet,Berry
9,Riddler OG,Hybrid,4.7,7.0,Myrcene,Happy,Dizzy,Lack of appetite,Uplifted,Dry eyes,Pain,Talkative,Dry mouth,Cramps,Tingly,,Depression,Focused,,Fatigue,18.0,10.0,Flowery,Earthy,Pungent
10,Brian Berry Cough,Hybrid,4.5,42.0,Myrcene,Happy,Dry mouth,Depression,Relaxed,Dry eyes,Stress,Euphoric,Anxious,Anxiety,Uplifted,Dizzy,Headaches,Energetic,Paranoid,Nausea,17.0,0.0,Strawberry,Plum,Berry
11,Blue Galaxy,Hybrid,4.7,13.0,Myrcene,Happy,Dry mouth,Depression,Relaxed,Dry eyes,Pain,Uplifted,,Stress,Hungry,,Headaches,Giggly,,ADD,23.0,4.0,Sweet,Berry,Tropical
12,Elphinstone,Sativa,4.5,6.0,Caryophyllene,Uplifted,Anxious,Depression,Happy,Dry mouth,Stress,Focused,Dry eyes,Fatigue,Euphoric,Dizzy,Pain,Energetic,,ADD,21.0,0.0,Citrus,Sweet,Skunk
13,Hippie Crippler,Hybrid,4.3,146.0,Myrcene,Happy,Dry mouth,Stress,Uplifted,Dry eyes,Depression,Euphoric,Dizzy,Anxiety,Relaxed,Anxious,Pain,Energetic,Headache,Lack of appetite,18.0,1.0,Earthy,Sweet,Pine
14,Ghost Ship,Indica,4.6,18.0,Caryophyllene,Relaxed,Dry mouth,Stress,Euphoric,Dry eyes,Insomnia,Sleepy,Dizzy,Pain,Happy,,Depression,Uplifted,,Anxiety,16.0,0.0,Pine,Earthy,Sweet
15,Sapphire OG,Hybrid,4.4,8.0,Caryophyllene,Relaxed,Anxious,Depression,Sleepy,Paranoid,Pain,Happy,,,Euphoric,,,Uplifted,,,19.0,0.0,Earthy,,
16,Sour Amnesia,Sativa,4.6,124.0,Caryophyllene,Happy,Dry mouth,Depression,Uplifted,Dry eyes,Stress,Euphoric,Anxious,Anxiety,Energetic,Paranoid,Pain,Creative,Dizzy,Fatigue,20.0,6.0,Diesel,Earthy,Sweet
