,Strain Name,Feelings,Type,Cannabinoids,Rating,Rating Users,Left Parent,Right Parent,Left Child,Right Child
0,Purple MAC,"{'Feelings': ['Happy ', 'Euphoric ', 'Relaxed ', 'Creative ', 'Uplifted '], 'Negatives': [None, None, None, None, None], 'Helps with': ['Pain ', None, None, None, None]}",,"{'THC': None, 'CBD': None, 'CBG': None}",5.0,5,,,,
1,Mule Fuel,"{'Feelings': ['Sleepy ', 'Relaxed ', 'Euphoric ', 'Happy ', 'Giggly '], 'Negatives': [None, None, None, None, None], 'Helps with': ['Anxiety ', 'Depression ', 'Pain ', 'Headaches ', 'Inflammation ']}",Hybrid,"{'THC': '27%', 'CBD': None, 'CBG': '1%'}",4.8,9,,,,
2,Strawberry Guava,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Uplifted ', 'Giggly '], 'Negatives': [None, None, None, None, None], 'Helps with': ['Anxiety ', 'Asthma ', 'PTSD ', None, None]}",Hybrid,"{'THC': '22%', 'CBD': None, 'CBG': '1%'}",4.8,16,,,,
3,Gutbuster,"{'Feelings': ['Relaxed ', 'Euphoric ', 'Tingly ', 'Giggly ', 'Creative '], 'Negatives': ['Anxious ', 'Dry eyes ', 'Dry mouth ', 'Paranoid ', None], 'Helps with': ['Stress ', 'Depression ', 'Insomnia ', 'Pain ', 'Anxiety ']}",Indica,"{'THC': '18%', 'CBD': None, 'CBG': '1%'}",4.7,17,Cookies and Cream,Kimbo Kush,,
4,Shawnee Hills,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.0,2,,,,
5,Burkle,"{'Feelings': ['Relaxed ', 'Happy ', 'Sleepy ', 'Euphoric ', 'Uplifted '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Headache ', 'Anxious ', 'Dizzy '], 'Helps with': ['Stress ', 'Insomnia ', 'Pain ', 'Anxiety ', 'Lack of appetite ']}",Indica,"{'THC': None, 'CBD': None, 'CBG': None}",4.8,77,Granddaddy Purple,Pre-98 Bubba Kush,,
6,Grapefruit Durban,"{'Feelings': ['Uplifted ', 'Happy ', 'Giggly ', 'Euphoric ', 'Talkative '], 'Negatives': [None, None, None, None, None], 'Helps with': ['Depression ', 'Anxiety ', None, None, None]}",Sativa,"{'THC': '21%', 'CBD': None, 'CBG': '1%'}",4.6,5,Grapefruit,Sour Poison,,
7,Legalized OG,"{'Feelings': ['Relaxed ', 'Happy ', 'Uplifted ', 'Sleepy ', 'Focused '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Paranoid ', None], 'Helps with': ['Depression ', 'Pain ', 'Stress ', 'Anxiety ', 'Fatigue ']}",Hybrid,"{'THC': '18%', 'CBD': None, 'CBG': '1%'}",4.8,19,OG Kush,N/A,,
8,LA Kush Cake,"{'Feelings': ['Relaxed ', 'Euphoric ', 'Uplifted ', 'Happy ', 'Giggly '], 'Negatives': ['Dry eyes ', 'Dry mouth ', 'Anxious ', None, None], 'Helps with': ['Pain ', 'Anxiety ', 'Depression ', 'Stress ', 'PTSD ']}",Hybrid,"{'THC': '23%', 'CBD': None, 'CBG': '1%'}",4.6,38,Wedding Cake,Kush Mints,,
9,Larry OG,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Uplifted ', 'Focused '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Headache ', 'Anxious '], 'Helps with': ['Stress ', 'Pain ', 'Anxiety ', 'Depression ', 'Insomnia ']}",Hybrid,"{'THC': '18%', 'CBD': '—', 'CBG': None}",4.2,779,OG Kush,SFV OG,Purple Punch,Mike Larry
