Strain Name,Type,Rating,Rating Users,Left Parent,Right parent,Left Child,Right Child,Feeling_1,Feeling_2,Feeling_3,Feeling_4,Feeling_5,Negative_1,Negative_2,Negative_3,Negative_4,Negative_5,Helps with_1,Helps with_2,Helps with_3,Helps with_4,Helps with_5,THC,CBD,CBG
Purple MAC,,5.0,5,,,,,Happy,Euphoric,Relaxed,Creative,Uplifted,Pain,,,,,,,,,,,,
Mule Fuel,Hybrid,4.8,8,,,,,Sleepy,Relaxed,Euphoric,Happy,Giggly,Anxiety,Depression,Pain,Headaches,Inflammation,,,,,,27%,,1%
Strawberry Guava,Hybrid,4.8,16,,,,,Relaxed,Happy,Euphoric,Uplifted,Giggly,Anxiety,Asthma,PTSD,,,,,,,,22%,,1%
Gutbuster,Indica,4.7,17,Cookies and Cream,Kimbo Kush,,,Relaxed,Euphoric,Tingly,Giggly,Creative,Anxious,Dry,Dry,Paranoid,,Stress,Depression,Insomnia,Pain,Anxiety,18%,,1%
Shawnee Hills,Hybrid,4.0,2,,,,,,,,,,,,,,,,,,,,,,
Burkle,Indica,4.8,77,Granddaddy Purple,Pre-98 Bubba Kush,,,Relaxed,Happy,Sleepy,Euphoric,Uplifted,Dry,Dry,Headache,Anxious,Dizzy,Stress,Insomnia,Pain,Anxiety,Lack,,,
Grapefruit Durban,Sativa,4.6,5,Grapefruit,Sour Poison,,,Uplifted,Happy,Giggly,Euphoric,Talkative,Depression,Anxiety,,,,,,,,,21%,,1%
Legalized OG,Hybrid,4.8,19,OG Kush,N/A,,,Relaxed,Happy,Uplifted,Sleepy,Focused,Dry,Dry,Dizzy,Paranoid,,Depression,Pain,Stress,Anxiety,Fatigue,18%,,1%
LA Kush Cake,Hybrid,4.6,37,Wedding Cake,Kush Mints,,,Relaxed,Euphoric,Uplifted,Happy,Giggly,Dry,Dry,Anxious,,,Pain,Anxiety,Depression,Stress,PTSD,23%,,1%
Larry OG,Hybrid,4.2,779,OG Kush,SFV OG,Purple Punch,Mike Larry,Relaxed,Happy,Euphoric,Uplifted,Focused,Dry,Dry,Dizzy,Headache,Anxious,Stress,Pain,Anxiety,Depression,Insomnia,18%,—,
Lemon Truffles,,,,,,,,,,,,,,,,,,,,,,,,,
Marmalade,Hybrid,4.7,21,,,,,Relaxed,Happy,Uplifted,Euphoric,Focused,Dry,Anxious,Dry,Paranoid,,Depression,Stress,Pain,Headaches,Inflammation,15%,—,
Emerald OG,Indica,4.6,55,Fire OG,N/A,Blueberry Headband,Chocolate Mint OG,Relaxed,Sleepy,Happy,Uplifted,Euphoric,Dry,Anxious,Dry,,,Insomnia,Stress,Anxiety,Depression,Headaches,19%,,1%
Integrius,,,,,,,,,,,,,,,,,,,,,,,13%,,1%
White Label Jack Herer,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
King Louis,Indica,4.6,898,OG Kush,N/A,Gremlin,Gandalf OG,Relaxed,Sleepy,Happy,Euphoric,Hungry,Dry,Dry,Dizzy,Paranoid,Headache,Insomnia,Stress,Pain,Anxiety,Depression,21%,,1%
Durban Berry,Hybrid,4.7,29,Durban Poison,Rocky Mountain Blueberry,,,Happy,Relaxed,Creative,Uplifted,Focused,Dry,Dry,,,,Stress,Depression,Anxiety,Fatigue,Headaches,17%,,1%
Harlem,Hybrid,,,East Coast Sour Diesel,Anesthesia,,,,,,,,,,,,,,,,,,5%,9%,
Champion City Chocolate,Hybrid,4.0,1,,,,,,,,,,,,,,,,,,,,,,
Piña Collision,Sativa,4.3,6,,,,,Uplifted,Focused,Energetic,Relaxed,Creative,,,,,,,,,,,,,
Thai Haze,Sativa,4.4,26,Haze,Thai,Atomic Northern Lights,Brainstorm Haze,Happy,Creative,Energetic,Aroused,Focused,Anxious,Dizzy,Dry,Dry,Headache,Depression,Anxiety,Pain,Stress,ADD,,,
Mercury OG,Indica,4.4,50,,,,,Euphoric,Relaxed,Happy,Uplifted,Giggly,Dry,Dry,Dizzy,Paranoid,,Stress,Depression,Pain,Anxiety,Insomnia,19%,—,
Russian Rocket Fuel,Hybrid,3.9,26,NYC Diesel,N/A,,,Happy,Euphoric,Uplifted,Hungry,Energetic,Dry,Dry,Paranoid,,,Anxiety,Insomnia,Nausea,Pain,Stress,,,
West Coast Willie,Hybrid,,,Willie Nelson,N/A,,,,,,,,,,,,,,,,,,,,
Gusher Pie,Hybrid,4.0,2,,,,,Talkative,Relaxed,Happy,Giggly,Focused,Dry,,,,,,,,,,,,
Purple Arrow,Hybrid,4.1,104,,,,,Uplifted,Relaxed,Euphoric,Happy,Focused,Dry,Dry,Dizzy,Headache,Anxious,Pain,Stress,Anxiety,Depression,Nausea,19%,,1%
Prom Queen,Hybrid,4.0,1,High School Sweetheart,Deep Breath,,,Relaxed,Hungry,Giggly,Creative,,,,,,,,,,,,,,
Deep Sleep,Indica,4.5,69,Larry OG,Pre-98 Bubba Kush,,,Relaxed,Sleepy,Euphoric,Happy,Hungry,Dry,Dry,Dizzy,Anxious,Headache,Insomnia,Pain,Stress,Depression,Muscle,17%,—,
Sour Tangie,Sativa,4.6,620,Tangie,East Coast Sour Diesel,Citrus Punch,Sour Star Head,Happy,Uplifted,Energetic,Euphoric,Creative,Dry,Dry,Anxious,Dizzy,Headache,Depression,Stress,Anxiety,Fatigue,Pain,18%,—,
Guicy Banger,,,,,,,,,,,,,,,,,,,,,,,21%,,1%
Alion,Hybrid,4.4,5,Blue Dream,Alien Kush,,,Uplifted,Relaxed,Happy,Tingly,Talkative,Anxious,Paranoid,Dizzy,Dry,Headache,Depression,Fatigue,Headaches,Inflammation,Insomnia,16%,,1%
Chong Star,Hybrid,4.5,25,,,,,Relaxed,Happy,Uplifted,Euphoric,Creative,Stress,Pain,Anxiety,Depression,Lack,,,,,,,,
Glass Slipper,Hybrid,4.3,245,Cinderella 99,Pineapple,Glass Apple,White Slipper,Uplifted,Happy,Euphoric,Relaxed,Energetic,Dry,Dry,Headache,Anxious,Dizzy,Depression,Stress,Anxiety,Pain,PTSD,16%,—,
