,Strain Name,Flavors
0,Blue Dream,"['Blueberry', 'Berry', 'Sweet']"
1,Sour Diesel,"['Diesel', 'Earthy', 'Pungent']"
2,GSC,"['Earthy', 'Sweet', 'Flowery']"
3,Green Crack,"['Earthy', 'Citrus', 'Sweet']"
4,OG Kush,"['Earthy', 'Pine', 'Woody']"
5,Granddaddy Purple,"['Grape', 'Berry', 'Sweet']"
6,Original Glue,"['Earthy', 'Pungent', 'Pine']"
7,White Widow,"['Earthy', 'Flowery', 'Woody']"
8,Jack Herer,"['Earthy', 'Pine', 'Woody']"
9,Bubba Kush,"['Earthy', 'Sweet', 'Woody']"
10,Pineapple Express,"['Pineapple', 'Sweet', 'Tropical']"
11,Trainwreck,"['Earthy', 'Pine', 'Lemon']"
12,AK-47,"['Earthy', 'Woody', 'Skunk']"
13,Durban Poison,"['Earthy', 'Pine', 'Sweet']"
14,Northern Lights,"['Earthy', 'Sweet', 'Pine']"
15,Canna-Wreck,"['Sweet', 'Flowery', 'Earthy']"
16,Sweet Jesus,"['Tropical', '', '']"
17,Amnesia OG,"['Citrus', 'Cheese', 'Pungent']"
18,Blackberry Snow Cone,"['Peach', 'Pungent', '']"
19,Moon Walk,"['', '', '']"
20,Berries & Crème,"['Blueberry', '', '']"
21,Mazari,"['Spicy/Herbal', 'Blueberry', 'Skunk']"
22,Punxsy Punch,"['Blueberry', '', '']"
23,Huckleberry Cough,"['Berry', 'Blueberry', 'Lemon']"
24,Mystery 98,"['Earthy', 'Citrus', 'Flowery']"
25,Blue Raspberry Snow Cone,"['Sweet', 'Berry', 'Blueberry']"
26,Headband,"['Diesel', 'Earthy', 'Lemon']"
27,Blue Cheese,"['BlueCheese', 'Cheese', 'Blueberry']"
28,Strawberry Cough,"['Strawberry', 'Sweet', 'Berry']"
29,Chemdog,"['Earthy', 'Diesel', 'Pungent']"
30,Purple Kush,"['Earthy', 'Grape', 'Berry']"
31,Lemon Haze,"['Lemon', 'Citrus', 'Sweet']"
32,Super Lemon Haze,"['Lemon', 'Citrus', 'Sweet']"
33,Grape Ape,"['Grape', 'Sweet', 'Berry']"
34,Blueberry,"['Blueberry', 'Berry', 'Sweet']"
35,Alaskan Thunder Fuck,"['Earthy', 'Pine', 'Woody']"
36,Super Silver Haze,"['Citrus', 'Earthy', 'Sweet']"
37,Blackberry Kush,"['Berry', 'Sweet', 'Earthy']"
38,Cherry Pie,"['Berry', 'Sweet', 'Earthy']"
39,Master Kush,"['Earthy', 'Pine', 'Spicy/Herbal']"
40,Mazar x Blueberry OG,"['Sweet', 'Earthy', 'Berry']"
41,Cheese,"['Cheese', 'Earthy', 'Pungent']"
42,Death Star,"['Earthy', 'Diesel', 'Pungent']"
43,Chocolope,"['Earthy', 'Coffee', 'Sweet']"
44,Amnesia Haze,"['Citrus', 'Lemon', 'Earthy']"
45,Tahoe OG Kush,"['Earthy', 'Pine', 'Woody']"
46,Maui Wowie,"['Pineapple', 'Tropical', 'Sweet']"
47,Platinum GSC,"['Sweet', 'Earthy', 'Pungent']"
48,Harlequin,"['Earthy', 'Woody', 'Flowery']"
49,God’s Gift,"['Grape', 'Earthy', 'Sweet']"
50,LA Confidential,"['Earthy', 'Pine', 'Sweet']"
51,Agent Orange,"['Citrus', 'Orange', 'Sweet']"
52,Purple Urkle,"['Berry', 'Grape', 'Sweet']"
53,Lemon Kush,"['Lemon', 'Citrus', 'Earthy']"
54,Mazar x Blueberry,"['Earthy', 'Blueberry', 'Sweet']"
55,Golden Goat,"['Citrus', 'Sweet', 'Pine']"
56,Afghan Kush,"['Earthy', 'Woody', 'Sweet']"
57,Dutch Treat,"['Pine', 'Sweet', 'Earthy']"
58,Hindu Kush,"['Earthy', 'Woody', 'Pungent']"
59,White Rhino,"['Earthy', 'Woody', 'Sweet']"
60,Fire OG,"['Lemon', 'Earthy', 'Pungent']"
61,Sherbert,"['Sweet', 'Citrus', 'Berry']"
62,Tangie,"['Citrus', 'Orange', 'Sweet']"
63,G13,"['Earthy', 'Woody', 'Sweet']"
64,Mango Kush,"['Mango', 'Tropical', 'Sweet']"
65,Berry White,"['Berry', 'Earthy', 'Sweet']"
66,LSD,"['Citrus', 'Earthy', 'Sweet']"
67,Candyland,"['Sweet', 'Earthy', 'Citrus']"
68,Purple Haze,"['Flowery', 'Earthy', 'Sweet']"
69,Cinex,"['Citrus', 'Earthy', 'Woody']"
70,Bruce Banner,"['Earthy', 'Sweet', 'Diesel']"
71,Lemon Skunk,"['Lemon', 'Citrus', 'Skunk']"
